1342197804 |  387 | HD 161796            |     |  17:44:55.47 |  50:02:39.50 |  -16.52418 | Sat Jun 05 17:35:48 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  1125 |   1  | SED B2A 102.00-146.00 x1 
1342197805 |  387 | HD 161796            |     |  17:44:55.47 |  50:02:39.50 |  -16.52483 | Sat Jun 05 18:06:16 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  2373 |   1  | SED B2B 140.00-220.00 x1 
1342197881 |  389 | [CB88] 230           |     |  21:17:38.74 |  68:17:31.80 |   12.28878 | Sun Jun 06 20:53:09 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | medium |     | pointed                       | Calibration_rppacs_23    |  4605 |   1  | SED B2B 140.00-220.00 x2 
1342197883 |  389 | [CB88] 230           |     |  21:17:38.74 |  68:17:31.80 |   12.27943 | Sun Jun 06 21:52:02 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | medium |     | pointed                       | Calibration_rppacs_23    |  2124 |   1  | SED B2A 102.00-146.00 x2 
1342197884 |  389 | [CB88] 230           |     |  21:17:38.74 |  68:17:31.80 |   12.27462 | Sun Jun 06 22:24:17 2010 UTC | Range | Nyquist     | SED B2A | unchopped |        |     | pointed                       | Calibration_rppacs_24    |  1477 |   1  | 
1342197885 |  389 | [CB88] 230 OFF-June  |     |  21:17:54.60 |  68:15:00.00 |   12.26967 | Sun Jun 06 22:49:11 2010 UTC | Range | Nyquist     | SED B2A | unchopped |        |     | pointed                       | Calibration_rppacs_24    |  1477 |   1  | 
1342197886 |  389 | [CB88] 230           |     |  21:17:38.74 |  68:17:31.80 |   12.26676 | Sun Jun 06 23:14:05 2010 UTC | Range | Nyquist     | SED B2A | unchopped |        |     | pointed                       | Calibration_rppacs_24    |  1477 |   1  | 
1342197887 |  389 | [CB88] 230 OFF-June  |     |  21:17:54.60 |  68:15:00.00 |   12.26178 | Sun Jun 06 23:38:59 2010 UTC | Range | Nyquist     | SED B2A | unchopped |        |     | pointed                       | Calibration_rppacs_24    |  1477 |   1  | 
1342197888 |  389 | [CB88] 230           |     |  21:17:38.74 |  68:17:31.80 |   12.25710 | Mon Jun 07 00:14:54 2010 UTC | Range | Nyquist     | SED B2B | unchopped |        |     | pointed                       | Calibration_rppacs_24    |  2520 |   1  | 
1342197889 |  389 | [CB88] 230 OFF-June  |     |  21:17:54.60 |  68:15:00.00 |   12.24854 | Mon Jun 07 01:01:50 2010 UTC | Range | Nyquist     | SED B2B | unchopped |        |     | pointed                       | Calibration_rppacs_24    |  2520 |   1  | 
1342197890 |  389 | [CB88] 230           |     |  21:17:38.74 |  68:17:31.80 |   12.24217 | Mon Jun 07 01:48:46 2010 UTC | Range | Nyquist     | SED B2B | unchopped |        |     | pointed                       | Calibration_rppacs_24    |  2520 |   1  | 
1342197891 |  389 | [CB88] 230 OFF-June  |     |  21:17:54.60 |  68:15:00.00 |   12.23363 | Mon Jun 07 02:35:42 2010 UTC | Range | Nyquist     | SED B2B | unchopped |        |     | pointed                       | Calibration_rppacs_24    |  2520 |   1  | 
1342197893 |  389 | Neptune              | SSO |  22:03:30.63 | -12:24:39.90 |  -17.43874 | Mon Jun 07 05:08:16 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | large  |     | pointed                       | Calibration_rppacs_23    |  1253 |   1  | SED B2A 102.00-146.00 x1 
